Time [s],Packet ID,MOSI,MISO
0.0018777500,0,0xFF,0x72
0.0018887500,0,0xFF,0x74
0.0018998000,0,0xFF,0x69
0.0019108500,0,0xFF,0x74
0.0019218500,0,0xFF,0x69
0.0019329000,0,0xFF,0x6F
0.0019439000,0,0xFF,0x6E
0.0019549500,0,0xFF,0x20
0.0019660000,0,0xFF,0x74
0.0019770500,0,0xFF,0x61
0.0019881000,0,0xFF,0x62
0.0019991000,0,0xFF,0x6C
0.0020101500,0,0xFF,0x65
0.0020211500,0,0xFF,0x00
0.0020322000,0,0xFF,0x45
0.0020432000,0,0xFF,0x72
0.0020542500,0,0xFF,0x72
0.0020652500,0,0xFF,0x6F
0.0020763000,0,0xFF,0x72
0.0020873000,0,0xFF,0x20
0.0020983500,0,0xFF,0x6C
0.0021094000,0,0xFF,0x6F
0.0021204000,0,0xFF,0x61
0.0021314500,0,0xFF,0x64
0.0021424500,0,0xFF,0x69
0.0021535000,0,0xFF,0x6E
0.0021645000,0,0xFF,0x67
0.0021755500,0,0xFF,0x20
0.0021865500,0,0xFF,0x6F
0.0021976000,0,0xFF,0x70
0.0022086000,0,0xFF,0x65
0.0022196500,0,0xFF,0x72
0.0022307000,0,0xFF,0x61
0.0022417000,0,0xFF,0x74
0.0022527500,0,0xFF,0x69
0.0022637500,0,0xFF,0x6E
0.0022748000,0,0xFF,0x67
0.0022858000,0,0xFF,0x20
0.0022968500,0,0xFF,0x73
0.0023078500,0,0xFF,0x79
0.0023189000,0,0xFF,0x73
0.0023299000,0,0xFF,0x74
0.0023409500,0,0xFF,0x65
0.0023519500,0,0xFF,0x6D
0.0023630000,0,0xFF,0x00
0.0023740000,0,0xFF,0x4D
0.0023850500,0,0xFF,0x69
0.0023960500,0,0xFF,0x73
0.0024071000,0,0xFF,0x73
0.0024181000,0,0xFF,0x69
0.0024291500,0,0xFF,0x6E
0.0024401500,0,0xFF,0x67
0.0024512000,0,0xFF,0x20
0.0024622000,0,0xFF,0x6F
0.0024732500,0,0xFF,0x70
0.0024843000,0,0xFF,0x65
0.0024953000,0,0xFF,0x72
0.0025063500,0,0xFF,0x61
0.0025173500,0,0xFF,0x74
0.0025284000,0,0xFF,0x69
0.0025394000,0,0xFF,0x6E
0.0025504500,0,0xFF,0x67
0.0025614500,0,0xFF,0x20
0.0025725000,0,0xFF,0x73
0.0025835000,0,0xFF,0x79
0.0025945500,0,0xFF,0x73
0.0026055500,0,0xFF,0x74
0.0026166000,0,0xFF,0x65
0.0026276000,0,0xFF,0x6D
0.0026386500,0,0xFF,0x00
0.0026497000,0,0xFF,0x00
0.0026607000,0,0xFF,0x00
0.0026717500,0,0xFF,0x00
0.0026827500,0,0xFF,0x00
0.0026938000,0,0xFF,0x00
0.0027048000,0,0xFF,0x00
0.0027158500,0,0xFF,0x00
0.0027268500,0,0xFF,0x00
0.0027379000,0,0xFF,0x00
0.0027489000,0,0xFF,0x00
0.0027599500,0,0xFF,0x00
0.0027709500,0,0xFF,0x00
0.0027820000,0,0xFF,0x00
0.0027930000,0,0xFF,0x00
0.0028040500,0,0xFF,0x00
0.0028151000,0,0xFF,0x00
0.0028261000,0,0xFF,0x00
0.0028371500,0,0xFF,0x00
0.0028481500,0,0xFF,0x00
0.0028592000,0,0xFF,0x00
0.0028702000,0,0xFF,0x00
0.0028812500,0,0xFF,0x00
0.0028922500,0,0xFF,0x00
0.0029033000,0,0xFF,0x00
0.0029143000,0,0xFF,0x00
0.0029253500,0,0xFF,0x00
0.0029363500,0,0xFF,0x00
0.0029474000,0,0xFF,0x00
0.0029584000,0,0xFF,0x00
0.0029694500,0,0xFF,0x00
0.0029804500,0,0xFF,0x00
0.0029915000,0,0xFF,0x00
0.0030025000,0,0xFF,0x00
0.0030135500,0,0xFF,0x00
0.0030245500,0,0xFF,0x00
0.0030355500,0,0xFF,0x00
0.0030466000,0,0xFF,0x00
0.0030576000,0,0xFF,0x00
0.0030686500,0,0xFF,0x00
0.0030796500,0,0xFF,0x00
0.0030907000,0,0xFF,0x00
0.0031017000,0,0xFF,0x00
0.0031127500,0,0xFF,0x00
0.0031237500,0,0xFF,0x00
0.0031348000,0,0xFF,0x00
0.0031458000,0,0xFF,0x00
0.0031568500,0,0xFF,0x00
0.0031678500,0,0xFF,0x00
0.0031789000,0,0xFF,0x00
0.0031899000,0,0xFF,0x00
0.0032009500,0,0xFF,0x00
0.0032119500,0,0xFF,0x00
0.0032229500,0,0xFF,0x00
0.0032340000,0,0xFF,0x00
0.0032450000,0,0xFF,0x00
0.0032560500,0,0xFF,0x00
0.0032670500,0,0xFF,0x00
0.0032781000,0,0xFF,0x00
0.0032891000,0,0xFF,0x00
0.0033001500,0,0xFF,0x00
0.0033111500,0,0xFF,0x00
0.0033222000,0,0xFF,0x00
0.0033332000,0,0xFF,0x00
0.0033442500,0,0xFF,0x00
0.0033552500,0,0xFF,0x00
0.0033663000,0,0xFF,0x00
0.0033773000,0,0xFF,0x00
0.0033883500,0,0xFF,0x00
0.0033993500,0,0xFF,0x00
0.0034104000,0,0xFF,0x00
0.0034214000,0,0xFF,0x00
0.0034324500,0,0xFF,0x00
0.0034435000,0,0xFF,0x00
0.0034545000,0,0xFF,0x00
0.0034655500,0,0xFF,0x00
0.0034765500,0,0xFF,0x00
0.0034876000,0,0xFF,0x00
0.0034986000,0,0xFF,0x00
0.0035096500,0,0xFF,0x00
0.0035206500,0,0xFF,0x00
0.0035317000,0,0xFF,0x00
0.0035427000,0,0xFF,0x00
0.0035537500,0,0xFF,0x00
0.0035647500,0,0xFF,0x00
